concept1,ICD9CM,relationship1,concept2,SNOMED,relationship2,concept3,ICD10CM
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left hip, without tophus (tophi)",M1A.4520
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left hip, without tophus (tophi)",M1A.4520
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified hip, without tophus (tophi)",M1A.3590
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified hip, without tophus (tophi)",M1A.3590
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right hand, without tophus (tophi)",M1A.3410
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right hand, without tophus (tophi)",M1A.3410
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified site, with tophus (tophi)",M1A.30X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified site, with tophus (tophi)",M1A.30X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified site, with tophus (tophi)",M1A.30X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified site, with tophus (tophi)",M1A.30X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified site, with tophus (tophi)",M1A.30X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.2791
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.2791
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.2791
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.2791
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.2791
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right shoulder, with tophus (tophi)",M1A.2111
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right shoulder, with tophus (tophi)",M1A.2111
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right shoulder, with tophus (tophi)",M1A.2111
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right shoulder, with tophus (tophi)",M1A.2111
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right shoulder, with tophus (tophi)",M1A.2111
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right wrist, without tophus (tophi)",M1A.0310
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right wrist, without tophus (tophi)",M1A.0310
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, left elbow",M10.422
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, right wrist",M10.331
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left knee",M10.162
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left knee",M10.162
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified ankle and foot, without tophus (tophi)",M1A.0790
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified ankle and foot, without tophus (tophi)",M1A.0790
